,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
2923,VA,Fairfax City,"24,097","5,739","3,512",456,"1,622","1,276","1,581","1,939","1,827",13
2924,VA,Falls Church City,"14,583","3,676","1,848",292,968,758,926,"1,157",498,8
2925,VA,Franklin City,"8,176","1,953","1,582",155,544,471,613,733,"1,674",4
2926,VA,Fredericksburg City,"28,360","5,877","3,087",466,"2,000","1,348","1,559","1,936","3,627",15
2927,VA,Galax City,"6,625","1,445","1,388",114,452,396,520,617,"1,363",3
2928,VA,Hampton City,"134,669","28,278","20,276","2,246","9,400","7,225","8,911","10,872","20,069",74
2929,VA,Harrisonburg City,"54,215","9,103","4,988",723,"4,025","2,416","2,645","3,283","10,837",30
2930,VA,Hopewell City,"22,621","5,862","3,482",465,"1,477","1,175","1,473","1,787","4,434",12
2931,VA,Lexington City,"7,106",677,"1,157",53,566,370,440,517,"1,069",4
2932,VA,Lynchburg City,"80,995","15,690","11,669","1,246","5,769","4,037","4,857","5,834","13,132",44
2933,VA,Manassas City,"41,501","11,100","3,994",881,"2,712","1,931","2,253","2,852","3,595",23
2934,VA,Manassas Park City,"16,591","4,016","1,291",319,"1,127",764,861,"1,112","1,169",9
2935,VA,Martinsville City,"13,142","3,247","2,524",257,866,752,981,"1,173","2,879",7
2936,VA,Newport News City,"179,388","41,691","22,672","3,312","12,212","8,900","10,684","13,165","29,521",99
2937,VA,Norfolk City,"244,703","48,483","26,519","3,852","17,466","11,651","13,417","16,647","44,181",137
2938,VA,Norton City,"3,936",816,733,64,273,224,287,344,863,2
2939,VA,Petersburg City,"31,750","6,961","5,252",553,"2,184","1,768","2,227","2,706","6,804",17
2940,VA,Poquoson City,"12,053","2,622","2,321",208,826,714,926,"1,113",600,6
2941,VA,Portsmouth City,"94,572","22,194","13,831","1,763","6,393","4,895","6,037","7,354","16,935",52
2942,VA,Radford City,"17,658","2,237","1,604",177,"1,378",830,904,"1,133","4,213",9
2943,VA,Richmond City,"227,032","40,328","28,999","3,204","16,576","11,707","13,870","17,107","51,609",125
2944,VA,Roanoke City,"99,837","22,457","16,103","1,784","6,820","5,458","6,851","8,321","18,940",55
2945,VA,Salem City,"25,862","5,200","4,798",413,"1,813","1,495","1,912","2,295","2,567",14
2946,VA,Staunton City,"24,528","4,717","5,166",374,"1,730","1,470","1,918","2,269","3,072",13
2947,VA,Suffolk City,"90,237","22,197","12,586","1,763","6,022","4,747","5,858","7,231","10,067",50
2948,VA,Virginia Beach City,"450,435","100,136","61,631","7,956","31,023","23,331","28,393","34,905","36,669",250
